d_loss:1.6509244, g_loss:0.57997954
d_loss:1.5598636, g_loss:0.7592444
d_loss:1.3900526, g_loss:0.6957573
d_loss:1.4881839, g_loss:0.5564001
d_loss:1.4361217, g_loss:0.6095013
d_loss:1.4591639, g_loss:0.80435693
d_loss:1.5985346, g_loss:0.6203189
d_loss:1.9070845, g_loss:0.42918515
d_loss:2.0686433, g_loss:0.3732826
d_loss:1.4384613, g_loss:0.5950236
d_loss:1.4465888, g_loss:0.6907019
d_loss:1.4167035, g_loss:0.71694034
d_loss:1.4378297, g_loss:0.7370025
d_loss:1.3143046, g_loss:0.84638155
d_loss:1.4718153, g_loss:0.68716097
d_loss:1.4828317, g_loss:0.62133026
d_loss:1.7520941, g_loss:0.55546665
d_loss:1.9044855, g_loss:0.6322635
d_loss:1.6664343, g_loss:0.67678356
d_loss:1.4079696, g_loss:0.73586315
d_loss:1.3851398, g_loss:0.6729927
d_loss:1.1763508, g_loss:0.74367297
d_loss:1.2678244, g_loss:0.79655296
d_loss:1.4971315, g_loss:0.6607264
d_loss:1.7401727, g_loss:0.5291139
d_loss:1.8987281, g_loss:0.51659954
d_loss:1.863691, g_loss:0.522161
d_loss:1.7274894, g_loss:0.6137879
d_loss:1.4991107, g_loss:0.6262467
d_loss:1.6882153, g_loss:0.5505927
d_loss:1.6722054, g_loss:0.63257015
d_loss:1.6540561, g_loss:0.7311186
d_loss:1.5419147, g_loss:0.70557094
d_loss:1.7574404, g_loss:0.5996027
d_loss:1.776186, g_loss:0.53294003
d_loss:1.681432, g_loss:0.57062554
d_loss:1.6834633, g_loss:0.562535
d_loss:1.6242633, g_loss:0.63888955
d_loss:1.5746424, g_loss:0.8115982
d_loss:1.5539343, g_loss:0.7475889
d_loss:1.4294679, g_loss:0.6790293
d_loss:1.3280647, g_loss:0.74729824
d_loss:1.3367443, g_loss:0.7339444
d_loss:1.3180315, g_loss:0.73083013
d_loss:1.3711607, g_loss:0.66953063
d_loss:1.6095557, g_loss:0.54305744
d_loss:1.5123937, g_loss:0.6378962
d_loss:1.5422854, g_loss:0.70450187
d_loss:1.5646536, g_loss:0.68964183
d_loss:1.5015445, g_loss:0.6355579
d_loss:1.4574099, g_loss:0.6696311
d_loss:1.3928959, g_loss:0.7457306
d_loss:1.4344145, g_loss:0.6636337
d_loss:1.4191024, g_loss:0.65669894
d_loss:1.4160959, g_loss:0.71061325
d_loss:1.5583634, g_loss:0.681234
d_loss:1.4423553, g_loss:0.67442703
d_loss:1.4168509, g_loss:0.6622355
d_loss:1.504093, g_loss:0.5967727
d_loss:1.524476, g_loss:0.6110534
d_loss:1.3959548, g_loss:0.66667163
d_loss:1.2560463, g_loss:0.7120735
d_loss:1.348078, g_loss:0.64429855
d_loss:1.3359313, g_loss:0.69008386
d_loss:1.6915064, g_loss:0.6178995
d_loss:1.595027, g_loss:0.7200955
d_loss:1.5952533, g_loss:0.74201524
d_loss:1.4420761, g_loss:0.8308398
d_loss:1.3205423, g_loss:0.78229755
d_loss:1.3604885, g_loss:0.664379
d_loss:1.4569871, g_loss:0.63366544
d_loss:1.4019246, g_loss:0.67512584
d_loss:1.5101564, g_loss:0.72750574
d_loss:1.4907806, g_loss:0.62207663
d_loss:1.4447018, g_loss:0.64234954
d_loss:1.4054954, g_loss:0.7328026
d_loss:1.3236656, g_loss:0.6417103
d_loss:1.5534179, g_loss:0.54565156
d_loss:1.4879104, g_loss:0.6130476
d_loss:1.5358093, g_loss:0.6580992
d_loss:1.6287143, g_loss:0.5974034
d_loss:1.5167243, g_loss:0.5395292
d_loss:1.475431, g_loss:0.5843615
d_loss:1.4869723, g_loss:0.74656475
d_loss:1.3232689, g_loss:0.7368935
d_loss:1.3669326, g_loss:0.6495186
d_loss:1.3322284, g_loss:0.7472457
d_loss:1.2942631, g_loss:0.7423201
d_loss:1.1535642, g_loss:0.8823241
d_loss:1.1544493, g_loss:0.79039395
d_loss:1.2953008, g_loss:0.7004245
d_loss:1.2672428, g_loss:0.69053316
d_loss:1.3780541, g_loss:0.67926806
d_loss:1.5409076, g_loss:0.6560159
d_loss:1.3020313, g_loss:0.7200161
d_loss:1.3979527, g_loss:0.5732921
d_loss:1.3544714, g_loss:0.74112
d_loss:1.6918242, g_loss:0.69003534
d_loss:1.801772, g_loss:0.62870634
d_loss:1.5859392, g_loss:0.67312217
d_loss:1.5068504, g_loss:0.7211087
d_loss:1.8015137, g_loss:0.67393136
d_loss:2.1427011, g_loss:0.4762385
d_loss:1.8574493, g_loss:0.5628612
d_loss:1.5966651, g_loss:0.60659045
d_loss:1.5897546, g_loss:0.6549804
d_loss:1.7095022, g_loss:0.44737127
d_loss:1.6254618, g_loss:0.5431323
d_loss:1.2453691, g_loss:1.0393333
d_loss:1.0211128, g_loss:1.0838351
d_loss:1.180208, g_loss:0.7231492
d_loss:1.9762293, g_loss:0.33385298
d_loss:1.7481977, g_loss:0.44661754
d_loss:1.6449616, g_loss:0.82527876
d_loss:1.8835872, g_loss:0.54892814
d_loss:1.6167136, g_loss:0.5552185
d_loss:1.512697, g_loss:0.6459551
d_loss:1.5987345, g_loss:0.7261802
d_loss:1.3739018, g_loss:0.83120584
d_loss:1.4110715, g_loss:0.8523062
d_loss:1.3628814, g_loss:0.82492614
d_loss:1.4050336, g_loss:0.7695782
d_loss:1.4205192, g_loss:0.70839703
d_loss:1.4330964, g_loss:0.7084407
d_loss:1.5609838, g_loss:0.62369025
d_loss:1.4697032, g_loss:0.6688108
d_loss:1.3735788, g_loss:0.7887139
d_loss:1.342165, g_loss:0.78147733
d_loss:1.334652, g_loss:0.698008
d_loss:1.3287681, g_loss:0.65723026
d_loss:1.194137, g_loss:0.71675
d_loss:1.2797928, g_loss:0.709988
d_loss:1.300622, g_loss:0.72388685
d_loss:1.4042809, g_loss:0.7103082
d_loss:1.2236427, g_loss:0.8849031
d_loss:1.2062784, g_loss:0.9194552
d_loss:1.3669591, g_loss:0.72719634
d_loss:1.3105407, g_loss:0.7609594
d_loss:1.4227502, g_loss:0.6435381
d_loss:1.4991379, g_loss:0.5966428
d_loss:1.5405726, g_loss:0.5986817
d_loss:1.5805678, g_loss:0.7823012
d_loss:1.3828566, g_loss:0.8334152
d_loss:1.2792943, g_loss:0.78238726
d_loss:1.2223794, g_loss:0.8151381
d_loss:1.3081253, g_loss:0.6590725
d_loss:1.4974169, g_loss:0.5951991
d_loss:1.8419731, g_loss:0.51208663
d_loss:1.9249208, g_loss:0.6045923
d_loss:1.6814082, g_loss:0.64739305
d_loss:1.5082822, g_loss:0.66024303
d_loss:1.4581008, g_loss:0.72209775
d_loss:1.4131985, g_loss:0.6679187
d_loss:1.3538995, g_loss:0.70774066
d_loss:1.3466512, g_loss:0.7014832
d_loss:1.3092309, g_loss:0.7550128
d_loss:1.4214741, g_loss:0.63779837
d_loss:1.3343296, g_loss:0.62743485
d_loss:1.2069423, g_loss:0.8254088
d_loss:1.3833141, g_loss:0.79638064
